,Positive Power Flow Limit (MW),Negative Power Flow Limit (MW)
Line 1,240.0,-240.0
Line 2,240.0,-240.0
Line 3,300.0,-300.0
Line 4,240.0,-240.0
Line 5,240.0,-240.0
Line 6,240.0,-240.0
Line 7,240.0,-240.0
Line 8,240.0,-240.0
Line 9,240.0,-240.0
Line 10,240.0,-240.0
Line 11,240.0,-240.0
Line 12,240.0,-240.0
Line 13,240.0,-240.0
Line 14,240.0,-240.0
Line 15,240.0,-240.0
Line 16,240.0,-240.0
Line 17,240.0,-240.0
Line 18,240.0,-240.0
Line 19,240.0,-240.0
Line 20,240.0,-240.0
Line 21,240.0,-240.0
Line 22,240.0,-240.0
Line 23,240.0,-240.0
Line 24,240.0,-240.0
Line 25,240.0,-240.0
Line 26,240.0,-240.0
Line 27,240.0,-240.0
Line 28,240.0,-240.0
Line 29,240.0,-240.0
Line 30,240.0,-240.0
Line 31,240.0,-240.0
Line 32,240.0,-240.0
Line 33,240.0,-240.0
Line 34,240.0,-240.0
Line 35,240.0,-240.0
Line 36,240.0,-240.0
Line 37,240.0,-240.0
Line 38,400.0,-400.0
Line 39,240.0,-240.0
Line 40,240.0,-240.0
Line 41,240.0,-240.0
Line 42,240.0,-240.0
Line 43,240.0,-240.0
Line 44,240.0,-240.0
Line 45,240.0,-240.0
Line 46,240.0,-240.0
Line 47,240.0,-240.0
Line 48,240.0,-240.0
Line 49,240.0,-240.0
Line 50,240.0,-240.0
Line 51,300.0,-300.0
Line 52,240.0,-240.0
Line 53,240.0,-240.0
Line 54,300.0,-300.0
Line 55,240.0,-240.0
Line 56,240.0,-240.0
Line 57,240.0,-240.0
Line 58,240.0,-240.0
Line 59,240.0,-240.0
Line 60,240.0,-240.0
Line 61,240.0,-240.0
Line 62,240.0,-240.0
Line 63,240.0,-240.0
Line 64,240.0,-240.0
Line 65,240.0,-240.0
Line 66,240.0,-240.0
Line 67,240.0,-240.0
Line 68,240.0,-240.0
Line 69,240.0,-240.0
Line 70,240.0,-240.0
Line 71,240.0,-240.0
Line 72,240.0,-240.0
Line 73,240.0,-240.0
Line 74,240.0,-240.0
Line 75,240.0,-240.0
Line 76,240.0,-240.0
Line 77,240.0,-240.0
Line 78,240.0,-240.0
Line 79,240.0,-240.0
Line 80,240.0,-240.0
Line 81,240.0,-240.0
Line 82,240.0,-240.0
Line 83,240.0,-240.0
Line 84,240.0,-240.0
Line 85,240.0,-240.0
Line 86,240.0,-240.0
Line 87,240.0,-240.0
Line 88,240.0,-240.0
Line 89,240.0,-240.0
Line 90,240.0,-240.0
Line 91,240.0,-240.0
Line 92,240.0,-240.0
Line 93,240.0,-240.0
Line 94,240.0,-240.0
Line 95,240.0,-240.0
Line 96,240.0,-240.0
Line 97,240.0,-240.0
Line 98,240.0,-240.0
Line 99,240.0,-240.0
Line 100,240.0,-240.0
Line 101,240.0,-240.0
Line 102,240.0,-240.0
Line 103,240.0,-240.0
Line 104,300.0,-300.0
Line 105,240.0,-240.0
Line 106,240.0,-240.0
Line 107,240.0,-240.0
Line 108,240.0,-240.0
Line 109,240.0,-240.0
Line 110,240.0,-240.0
Line 111,240.0,-240.0
Line 112,240.0,-240.0
Line 113,240.0,-240.0
Line 114,240.0,-240.0
Line 115,240.0,-240.0
Line 116,240.0,-240.0
Line 117,240.0,-240.0
Line 118,240.0,-240.0
Line 119,240.0,-240.0
Line 120,240.0,-240.0
Line 121,240.0,-240.0
Line 122,240.0,-240.0
Line 123,240.0,-240.0
Line 124,240.0,-240.0
Line 125,240.0,-240.0
Line 126,240.0,-240.0
Line 127,240.0,-240.0
Line 128,240.0,-240.0
Line 129,240.0,-240.0
Line 130,240.0,-240.0
Line 131,240.0,-240.0
Line 132,240.0,-240.0
Line 133,240.0,-240.0
Line 134,240.0,-240.0
Line 135,240.0,-240.0
Line 136,240.0,-240.0
Line 137,240.0,-240.0
Line 138,240.0,-240.0
Line 139,300.0,-300.0
Line 140,240.0,-240.0
Line 141,240.0,-240.0
Line 142,240.0,-240.0
Line 143,400.0,-400.0
Line 144,240.0,-240.0
Line 145,240.0,-240.0
Line 146,240.0,-240.0
Line 147,240.0,-240.0
Line 148,240.0,-240.0
Line 149,240.0,-240.0
Line 150,240.0,-240.0
Line 151,240.0,-240.0
Line 152,240.0,-240.0
Line 153,240.0,-240.0
Line 154,240.0,-240.0
Line 155,240.0,-240.0
Line 156,240.0,-240.0
Line 157,240.0,-240.0
Line 158,240.0,-240.0
Line 159,240.0,-240.0
Line 160,240.0,-240.0
Line 161,240.0,-240.0
Line 162,240.0,-240.0
Line 163,240.0,-240.0
Line 164,240.0,-240.0
Line 165,240.0,-240.0
Line 166,240.0,-240.0
Line 167,240.0,-240.0
Line 168,240.0,-240.0
Line 169,240.0,-240.0
Line 170,240.0,-240.0
Line 171,240.0,-240.0
Line 172,240.0,-240.0
Line 173,240.0,-240.0
Line 174,240.0,-240.0
Line 175,240.0,-240.0
Line 176,450.0,-450.0
Line 177,240.0,-240.0
Line 178,240.0,-240.0
Line 179,240.0,-240.0
Line 180,240.0,-240.0
Line 181,240.0,-240.0
Line 182,240.0,-240.0
Line 183,240.0,-240.0
Line 184,240.0,-240.0
Line 185,240.0,-240.0
Line 186,240.0,-240.0
